id,created_at,updated_at,first_name,last_name,orders_count,state,total_spent,last_order_id,note,verified_email,multipass_identifier,tax_exempt,tags,last_order_name,email,phone,currency,addresses,tax_exemptions,sms_marketing_consent,admin_graphql_api_id,email_marketing_consent.state,email_marketing_consent.opt_in_level,email_marketing_consent.consent_updated_at,default_address.id,default_address.customer_id,default_address.first_name,default_address.last_name,default_address.company,default_address.address1,default_address.address2,default_address.city,default_address.province,default_address.country,default_address.zip,default_address.phone,default_address.name,default_address.province_code,default_address.country_code,default_address.country_name,default_address.default
9438921163034,2025-11-02T20:39:56-05:00,2025-11-02T20:39:56-05:00,Christopher,Coleman,0,disabled,0.00,,,True,,False,,,chelsey29@example.org,,USD,"[{'id': 11154916278554, 'customer_id': 9438921163034, 'first_name': 'Christopher', 'last_name': 'Coleman', 'company': None, 'address1': '72765 Benjamin Field Apt. 752', 'address2': None, 'city': 'Shreveport', 'province': 'Louisiana', 'country': 'United States', 'zip': '71104', 'phone': None, 'name': 'Christopher Coleman', 'province_code': 'LA', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438921163034,not_subscribed,single_opt_in,,11154916278554,9438921163034,Christopher,Coleman,,72765 Benjamin Field Apt. 752,,Shreveport,Louisiana,United States,71104,,Christopher Coleman,LA,US,United States,True
9438921097498,2025-11-02T20:39:56-05:00,2025-11-02T20:39:56-05:00,Daniel,Wilson,0,disabled,0.00,,,True,,False,,,etaylor@example.com,,USD,"[{'id': 11154916245786, 'customer_id': 9438921097498, 'first_name': 'Daniel', 'last_name': 'Wilson', 'company': None, 'address1': '6496 Robbins Island', 'address2': None, 'city': 'Santa Monica', 'province': 'California', 'country': 'United States', 'zip': '90401', 'phone': None, 'name': 'Daniel Wilson', 'province_code': 'CA', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438921097498,not_subscribed,single_opt_in,,11154916245786,9438921097498,Daniel,Wilson,,6496 Robbins Island,,Santa Monica,California,United States,90401,,Daniel Wilson,CA,US,United States,True
9438921031962,2025-11-02T20:39:55-05:00,2025-11-02T20:39:55-05:00,Thomas,Brown,0,disabled,0.00,,,True,,False,,,tony98@example.net,,USD,"[{'id': 11154916180250, 'customer_id': 9438921031962, 'first_name': 'Thomas', 'last_name': 'Brown', 'company': None, 'address1': '787 Shaw Avenue', 'address2': None, 'city': 'Ionia', 'province': 'Michigan', 'country': 'United States', 'zip': '48846', 'phone': None, 'name': 'Thomas Brown', 'province_code': 'MI', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438921031962,not_subscribed,single_opt_in,,11154916180250,9438921031962,Thomas,Brown,,787 Shaw Avenue,,Ionia,Michigan,United States,48846,,Thomas Brown,MI,US,United States,True
9438920999194,2025-11-02T20:39:55-05:00,2025-11-02T20:39:55-05:00,William,Greene,0,disabled,0.00,,,True,,False,,,hernandezchristine@example.net,,USD,"[{'id': 11154916147482, 'customer_id': 9438920999194, 'first_name': 'William', 'last_name': 'Greene', 'company': None, 'address1': '02502 Anderson Trace', 'address2': None, 'city': 'Chesapeake', 'province': 'Virginia', 'country': 'United States', 'zip': '23321', 'phone': None, 'name': 'William Greene', 'province_code': 'VA', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438920999194,not_subscribed,single_opt_in,,11154916147482,9438920999194,William,Greene,,02502 Anderson Trace,,Chesapeake,Virginia,United States,23321,,William Greene,VA,US,United States,True
9438920966426,2025-11-02T20:39:54-05:00,2025-11-02T20:39:54-05:00,Charles,Pittman,0,disabled,0.00,,,True,,False,,,austin04@example.org,,USD,"[{'id': 11154916114714, 'customer_id': 9438920966426, 'first_name': 'Charles', 'last_name': 'Pittman', 'company': None, 'address1': '4846 Paige Walks', 'address2': None, 'city': 'Lisbon', 'province': 'Ohio', 'country': 'United States', 'zip': '44432', 'phone': None, 'name': 'Charles Pittman', 'province_code': 'OH', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438920966426,not_subscribed,single_opt_in,,11154916114714,9438920966426,Charles,Pittman,,4846 Paige Walks,,Lisbon,Ohio,United States,44432,,Charles Pittman,OH,US,United States,True
9438920900890,2025-11-02T20:39:54-05:00,2025-11-02T20:39:54-05:00,Sarah,Callahan,0,disabled,0.00,,,True,,False,,,mhill@example.net,,USD,"[{'id': 11154916081946, 'customer_id': 9438920900890, 'first_name': 'Sarah', 'last_name': 'Callahan', 'company': None, 'address1': '67697 Bobby Street Suite 631', 'address2': None, 'city': 'Lexington', 'province': 'North Carolina', 'country': 'United States', 'zip': '27295', 'phone': None, 'name': 'Sarah Callahan', 'province_code': 'NC', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438920900890,not_subscribed,single_opt_in,,11154916081946,9438920900890,Sarah,Callahan,,67697 Bobby Street Suite 631,,Lexington,North Carolina,United States,27295,,Sarah Callahan,NC,US,United States,True
9438920868122,2025-11-02T20:39:54-05:00,2025-11-02T20:39:54-05:00,Adam,Edwards,0,disabled,0.00,,,True,,False,,,tyler51@example.org,,USD,"[{'id': 11154916049178, 'customer_id': 9438920868122, 'first_name': 'Adam', 'last_name': 'Edwards', 'company': None, 'address1': '8186 Weber Fields Apt. 738', 'address2': None, 'city': 'Deerfield Beach', 'province': 'Florida', 'country': 'United States', 'zip': '33442', 'phone': None, 'name': 'Adam Edwards', 'province_code': 'FL', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438920868122,not_subscribed,single_opt_in,,11154916049178,9438920868122,Adam,Edwards,,8186 Weber Fields Apt. 738,,Deerfield Beach,Florida,United States,33442,,Adam Edwards,FL,US,United States,True
9438920835354,2025-11-02T20:39:53-05:00,2025-11-02T20:39:53-05:00,Deborah,Tucker,0,disabled,0.00,,,True,,False,,,nelsonjoseph@example.org,,USD,"[{'id': 11154915950874, 'customer_id': 9438920835354, 'first_name': 'Deborah', 'last_name': 'Tucker', 'company': None, 'address1': '1813 Chavez Forest Suite 854', 'address2': None, 'city': 'Toms River', 'province': 'New Jersey', 'country': 'United States', 'zip': '08755', 'phone': None, 'name': 'Deborah Tucker', 'province_code': 'NJ', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438920835354,not_subscribed,single_opt_in,,11154915950874,9438920835354,Deborah,Tucker,,1813 Chavez Forest Suite 854,,Toms River,New Jersey,United States,08755,,Deborah Tucker,NJ,US,United States,True
9438920802586,2025-11-02T20:39:53-05:00,2025-11-02T20:39:53-05:00,Tyler,Wade,0,disabled,0.00,,,True,,False,,,fsmith@example.org,,USD,"[{'id': 11154915918106, 'customer_id': 9438920802586, 'first_name': 'Tyler', 'last_name': 'Wade', 'company': None, 'address1': '33022 Foster View', 'address2': None, 'city': 'Swartz Creek', 'province': 'Michigan', 'country': 'United States', 'zip': '48473', 'phone': None, 'name': 'Tyler Wade', 'province_code': 'MI', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438920802586,not_subscribed,single_opt_in,,11154915918106,9438920802586,Tyler,Wade,,33022 Foster View,,Swartz Creek,Michigan,United States,48473,,Tyler Wade,MI,US,United States,True
9438920769818,2025-11-02T20:39:52-05:00,2025-11-02T20:39:52-05:00,Thomas,Collins,0,disabled,0.00,,,True,,False,,,lauraroberson@example.org,,USD,"[{'id': 11154915885338, 'customer_id': 9438920769818, 'first_name': 'Thomas', 'last_name': 'Collins', 'company': None, 'address1': '71539 Baker Dam', 'address2': None, 'city': 'Jersey City', 'province': 'New Jersey', 'country': 'United States', 'zip': '07302', 'phone': None, 'name': 'Thomas Collins', 'province_code': 'NJ', 'country_code': 'US', 'country_name': 'United States', 'default': True}]",[],,gid://shopify/Customer/9438920769818,not_subscribed,single_opt_in,,11154915885338,9438920769818,Thomas,Collins,,71539 Baker Dam,,Jersey City,New Jersey,United States,07302,,Thomas Collins,NJ,US,United States,True
